judge_status,public_action,row_count,review_row_count,years,year_range,afrc_name,afrc_place,afrc_address,best_college_id,best_college_name,best_score,second_college_id,second_college_name,second_score,score_gap,match_reason,same_city,risky_group_terms,strong_current_alternative,possible_current_alternatives,agent_a_matcher_reason,agent_b_skeptic_objection,agent_c_historian_policy,agent_e_judge_reason,raw_fee_texts,branch_amounts,sessions,source_pages,source_urls,alternatives
review_current_match_ambiguous,manual_review,10,10,2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2017-2026,"Millennium College of Technology, Bhopal",Bhopal,"VILLAGE MUGALIYA KOT POST ISLAM NAGAR NEAR SUKHISEVANIA VIDISHA ROAD, BHOPAL",135,"IES College of Technology, Bhopal",0.913,564,"Oriental College of Technology, Bhopal",0.882,0.031,leading name token differs,yes,oriental;ies;millennium,"135:IES College of Technology, Bhopal:0.913","135:IES College of Technology, Bhopal:0.913; 564:Oriental College of Technology, Bhopal:0.882; 171:Jai Narain College of Technology, Bhopal:0.861","Top score exists, but the first distinctive name token differs from AFRC.","strong same-brand current alternative exists: 135:IES College of Technology, Bhopal:0.913; distinctive leading token mismatch can indicate a different institute; same-group collision risk: oriental;ies;millennium",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Distinctive leading token differs; likely wrong institute unless source proves alias/renaming.,22800,,2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2024-2025;2025-2026;2026-2027,AFRC:T:2017:page:4 | AFRC:T:2018:page:4 | AFRC:T:2019:page:3 | AFRC:T:2020:page:3 | AFRC:T:2021:page:3 | AFRC:T:2023:page:3 | AFRC:T:2024:page:3 | AFRC:T:2025:page:3 | fees.xml:item:12 | fees.xml:item:9,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"135:IES College of Technology, Bhopal:0.913; 564:Oriental College of Technology, Bhopal:0.882; 171:Jai Narain College of Technology, Bhopal:0.861"
review_possible_current_remap,manual_review,10,10,2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2017-2026,Patel College of Science Technology Patel Group of Institutions,Bhopal,"PATEL COLLEGE CAMPUS, RATIBAD, BHOPAL",h88,"Patel College of Science & Technology, Bhopal",0.783,339,"Patel College of Science & Technology, Indore",0.743,0.040,matched historical/defunct college,yes,truba;patel,,"339:Patel College of Science & Technology, Indore:0.743","Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.","candidate is historical/defunct; do not attach to current college card; plausible current alternative exists: 339:Patel College of Science & Technology, Indore:0.743; same-group collision risk: truba;patel; score below 0.900 (0.783)",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Historical top match has a plausible current alternative; requires official source/manual mapping.,28000,,2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2024-2025;2025-2026;2026-2027,AFRC:T:2017:page:5 | AFRC:T:2018:page:5 | AFRC:T:2019:page:4 | AFRC:T:2020:page:4 | AFRC:T:2021:page:4 | AFRC:T:2022:page:4 | AFRC:T:2023:page:4 | AFRC:T:2024:page:4 | AFRC:T:2025:page:4 | AFRC:T:2026:page:4,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h88:Patel College of Science & Technology, Bhopal:0.783; 339:Patel College of Science & Technology, Indore:0.743; h50:Truba College of Science & Technology, Bhopal (2009)-F.W.:0.707"
review_possible_current_remap,manual_review,8,8,2017;2018;2019;2020;2021;2022;2023;2024,2017-2024,"Oriental Institute of Science Technology, Jabalpur",Jabalpur,NEW KATNI NAGPUR BYPASS ROAD GRAM ANDHUA NEAR RAMCHANDRA MISSION JABALPUR,h29,"Oriental Institute of Science & Technology, Jabalpur",1.000,501,"Shri Ram Institute of Science & Technology, Jabalpur",0.938,0.062,matched historical/defunct college,yes,oriental;shri ram,,"501:Shri Ram Institute of Science & Technology, Jabalpur:0.938; 333:Oriental Institute of Science & Technology, Bhopal:0.917","Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.","candidate is historical/defunct; do not attach to current college card; plausible current alternative exists: 501:Shri Ram Institute of Science & Technology, Jabalpur:0.938; 333:Oriental Institute of Science & Technology, Bhopal:0.917; same-group collision risk: oriental;shri ram",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Historical top match has a plausible current alternative; requires official source/manual mapping.,25500 | 30000,,2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2024-2025,AFRC:T:2017:page:5 | AFRC:T:2018:page:5 | AFRC:T:2019:page:4 | AFRC:T:2020:page:4 | AFRC:T:2021:page:4 | AFRC:T:2022:page:4 | AFRC:T:2023:page:4 | AFRC:T:2024:page:4,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h29:Oriental Institute of Science & Technology, Jabalpur:1.000; 501:Shri Ram Institute of Science & Technology, Jabalpur:0.938; 333:Oriental Institute of Science & Technology, Bhopal:0.917"
review_possible_current_remap,manual_review,8,8,2017;2018;2019;2020;2021;2022;2023;2024,2017-2024,"Vindhya Institute of Technology Science, Indore",Indore,UMRIKHEDA KHANDAWA ROAD INDORE,h53,"Vindhya Institute of Technology & Science, Indore",1.000,609,"Vindhya Institute of Technology & Science, Satna",0.901,0.099,matched historical/defunct college,yes,vindhya,,"609:Vindhya Institute of Technology & Science, Satna:0.901","Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.","candidate is historical/defunct; do not attach to current college card; plausible current alternative exists: 609:Vindhya Institute of Technology & Science, Satna:0.901; same-group collision risk: vindhya",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Historical top match has a plausible current alternative; requires official source/manual mapping.,24000,,2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2024-2025,AFRC:T:2017:page:9 | AFRC:T:2018:page:9 | AFRC:T:2019:page:7 | AFRC:T:2020:page:7 | AFRC:T:2021:page:7 | AFRC:T:2022:page:7 | AFRC:T:2023:page:7 | AFRC:T:2024:page:7,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h53:Vindhya Institute of Technology & Science, Indore:1.000; 609:Vindhya Institute of Technology & Science, Satna:0.901; 480:Shiv Kumar Singh Institute of Technology & Science, Indore:0.891"
review_historical_match_ambiguous,manual_review,5,5,2017;2018;2019;2020;2021,2017-2021,Hindustan Inst. of Tech. Sc. Mgmt.,Gwalior,"CHITORA ROAD BADAGAON,MORAR,GWALIORM.P.",h78,"Hindustan Institute of Technology Science and Management, Gwalior",0.678,609,"Vindhya Institute of Technology & Science, Satna",0.587,0.091,matched historical/defunct college,yes,vindhya;vikrant,,,"Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.",candidate is historical/defunct; do not attach to current college card; same-group collision risk: vindhya;vikrant; score below 0.900 (0.678),Historical IDs may be resolved for audit completeness but must not become current college fee display records.,"Historical candidate is weak, contradictory, or poorly supported.",18500,,2017-2018;2018-2019;2019-2020;2020-2021;2021-2022,AFRC:T:2017:page:2 | AFRC:T:2018:page:2 | AFRC:T:2019:page:2 | AFRC:T:2020:page:2 | AFRC:T:2021:page:2,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h78:Hindustan Institute of Technology Science and Management, Gwalior:0.678; 609:Vindhya Institute of Technology & Science, Satna:0.587; h69:Vikrant Institute of Technology & Management, Gwalior:0.565"
review_possible_current_remap,manual_review,5,5,2017;2018;2019;2020;2021,2017-2021,IES Institute of Technology and Management,Bhopal,IES CAMPUS KALKHEDA RATIBAD MAIN ROAD BHOPAL,h17,"IES Institute of Technology & Management, Bhopal",0.914,162,"Institute of Technology and Management, Gwalior",0.864,0.050,matched historical/defunct college,yes,ies,,"162:Institute of Technology and Management, Gwalior:0.864","Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.","candidate is historical/defunct; do not attach to current college card; plausible current alternative exists: 162:Institute of Technology and Management, Gwalior:0.864; same-group collision risk: ies",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Historical top match has a plausible current alternative; requires official source/manual mapping.,27500,,2017-2018;2018-2019;2019-2020;2020-2021;2021-2022,AFRC:T:2018:page:2 | AFRC:T:2019:page:2 | AFRC:T:2020:page:2 | AFRC:T:2021:page:2 | fees.xml:item:11,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h17:IES Institute of Technology & Management, Bhopal:0.914; 162:Institute of Technology and Management, Gwalior:0.864; h37:Sakshi Institute of Technology & Management, Guna:0.818"
review_possible_current_remap,manual_review,5,5,2022;2023;2024;2025;2026,2022-2026,"Jawaharlal Institute of Technology, Borawan M.C.A.",Khargone,"Vidhya Vihar, Borawan Tehsil - Kasrawad District - Khargone M.P. - 451228",h104,"JAWAHARLAL INSTITUTE OF TECHNOLOGY, BORAWAN(M.C.A.)",1.000,183,"Jawaharlal Institute of Technology, Borawan, Khargone",0.929,0.071,matched historical/defunct college,no,,"183:Jawaharlal Institute of Technology, Borawan, Khargone:0.929","183:Jawaharlal Institute of Technology, Borawan, Khargone:0.929","Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.","candidate is historical/defunct; do not attach to current college card; strong same-brand current alternative exists: 183:Jawaharlal Institute of Technology, Borawan, Khargone:0.929; city/place evidence does not confirm the candidate",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Historical top match has a plausible current alternative; requires official source/manual mapping.,19500 | 30000 | 33500,,2022-2023;2023-2024;2024-2025;2025-2026;2026-2027,AFRC:T:2022:page:2 | AFRC:T:2023:page:2 | AFRC:T:2024:page:2 | AFRC:T:2025:page:2 | AFRC:T:2026:page:2,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h104:JAWAHARLAL INSTITUTE OF TECHNOLOGY, BORAWAN(M.C.A.):1.000; 183:Jawaharlal Institute of Technology, Borawan, Khargone:0.929; 387:Rewa Institute of Technology, Rewa:0.741"
review_possible_current_remap,manual_review,5,5,2017;2018;2019;2020;2021,2017-2021,"SAM COLLEGE OF ENGINEERING AND TECHNOLOGY, BHOPAL",Bhopal,"GRAM ADAMPUR CHHAWNI POST KOLUA, RAISEN ROAD BHOPAL M.P. 462021",h38,"SAM College of Engineering & Technology, Bhopal (2007)-F.W.",0.997,534,"Surabhi College of Engineering & Technology, Bhopal",0.936,0.061,matched historical/defunct college,yes,truba,,"534:Surabhi College of Engineering & Technology, Bhopal:0.936","Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.","candidate is historical/defunct; do not attach to current college card; plausible current alternative exists: 534:Surabhi College of Engineering & Technology, Bhopal:0.936; same-group collision risk: truba",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Historical top match has a plausible current alternative; requires official source/manual mapping.,27500,,2017-2018;2018-2019;2019-2020;2020-2021;2021-2022,AFRC:T:2017:page:6 | AFRC:T:2018:page:6 | AFRC:T:2019:page:5 | AFRC:T:2020:page:5 | AFRC:T:2021:page:5,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h38:SAM College of Engineering & Technology, Bhopal (2007)-F.W.:0.997; 534:Surabhi College of Engineering & Technology, Bhopal:0.936; h50:Truba College of Science & Technology, Bhopal (2009)-F.W.:0.796"
review_possible_current_remap,manual_review,5,5,2017;2018;2019;2020;2021,2017-2021,"Sagar Institute of Research, Technology Science",Bhopal,"Near ISRO, Ayodhya Nagar, Bhopal",h36,"Sagar Institute of Research Technology & Science, Bhopal",1.000,426,"Sagar Institute of Research & Technology - Excellence, Bhopal",0.903,0.097,matched historical/defunct college,yes,bansal;sagar institute,"426:Sagar Institute of Research & Technology - Excellence, Bhopal:0.903","426:Sagar Institute of Research & Technology - Excellence, Bhopal:0.903; 189:Bansal Institute of Research Technology & Science, Bhopal:0.900","Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.","candidate is historical/defunct; do not attach to current college card; strong same-brand current alternative exists: 426:Sagar Institute of Research & Technology - Excellence, Bhopal:0.903; same-group collision risk: bansal;sagar institute",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Historical top match has a plausible current alternative; requires official source/manual mapping.,30000 | 32000,,2017-2018;2018-2019;2019-2020;2020-2021;2021-2022,AFRC:T:2017:page:6 | AFRC:T:2018:page:6 | AFRC:T:2019:page:5 | AFRC:T:2020:page:5 | AFRC:T:2021:page:5,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h36:Sagar Institute of Research Technology & Science, Bhopal:1.000; 426:Sagar Institute of Research & Technology - Excellence, Bhopal:0.903; 189:Bansal Institute of Research Technology & Science, Bhopal:0.900"
review_historical_match_ambiguous,manual_review,5,5,2017;2018;2019;2020;2021,2017-2021,Sardar Patel Inst. of Tech. Mgmt.,Mandleshwar,CHOLI ROAD MANDLESHWAR TEH. MAHESHWAR DIST. KHARGONE,h41,"Sardar Patel College of Technology, Balaghat",0.658,h42,"Sardar Patel Institute of Technology and Management, Mandleshwar, Khargone (2010)-F.W.",0.628,0.030,matched historical/defunct college,no,patel,,,"Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.",candidate is historical/defunct; do not attach to current college card; city/place evidence does not confirm the candidate; same-group collision risk: patel; score below 0.900 (0.658),Historical IDs may be resolved for audit completeness but must not become current college fee display records.,"Historical candidate is weak, contradictory, or poorly supported.",25000,,2017-2018;2018-2019;2019-2020;2020-2021;2021-2022,AFRC:T:2017:page:6 | AFRC:T:2018:page:6 | AFRC:T:2019:page:5 | AFRC:T:2020:page:5 | AFRC:T:2021:page:5,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h41:Sardar Patel College of Technology, Balaghat:0.658; h42:Sardar Patel Institute of Technology and Management, Mandleshwar, Khargone (2010)-F.W.:0.628; 243:Mahakal Instute of Technology, Ujjain:0.545"
review_possible_current_remap,manual_review,3,3,2019;2020;2021,2019-2021,ITM Group of Institutions (Institute of Information Technology. & Management) (Technical Campus) Gwalior,Gwalior,,h15,"Gwalior Institute of Information Technology, Gwalior",0.675,h73,"Shri Krishna Institute of Technology & Management, Gwalior",0.672,0.003,matched historical/defunct college,yes,,,"570:Shivajirao Kadam Institute of Technology and Management-Technical Campus, Indore:0.659","Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.","candidate is historical/defunct; do not attach to current college card; plausible current alternative exists: 570:Shivajirao Kadam Institute of Technology and Management-Technical Campus, Indore:0.659; score below 0.900 (0.675)",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Historical top match has a plausible current alternative; requires official source/manual mapping.,0,,2019-2020;2020-2021;2021-2022,AFRC:T:2019:page:2 | AFRC:T:2020:page:2 | AFRC:T:2021:page:2,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h15:Gwalior Institute of Information Technology, Gwalior:0.675; h73:Shri Krishna Institute of Technology & Management, Gwalior:0.672; 570:Shivajirao Kadam Institute of Technology and Management-Technical Campus, Indore:0.659"
review_possible_current_remap,manual_review,2,2,2017;2018,2017-2018,"ACROPOLIS INSTITUTE OF TECHNOLOGY AND RESEARCH,Bhopal",Bhopal,Secunderabad village Ratibad Road,h49,"Trinity Institute of Technology & Research, Bhopal",0.880,003,"Acropolis Institute of Technology & Research, Indore",0.863,0.017,matched historical/defunct college,yes,ies,,"003:Acropolis Institute of Technology & Research, Indore:0.863","Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.","candidate is historical/defunct; do not attach to current college card; plausible current alternative exists: 003:Acropolis Institute of Technology & Research, Indore:0.863; same-group collision risk: ies; score below 0.900 (0.880)",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Historical top match has a plausible current alternative; requires official source/manual mapping.,24650,,2017-2018;2018-2019,AFRC:T:2018:page:1 | fees.xml:item:11,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h49:Trinity Institute of Technology & Research, Bhopal:0.880; 003:Acropolis Institute of Technology & Research, Indore:0.863; h17:IES Institute of Technology & Management, Bhopal:0.816"
review_current_match_ambiguous,manual_review,2,2,2017;2018,2017-2018,BALAJI INSTITUTE OF TECHNOLOGY,Barwani,"VILLAGE-KERWAN,POST-KUWAN,TEH-THIKRI,DISTT-BARWANI,MADHYA PRADESH",486,"Shri Balaji Institute of Technology & Management, Betul",0.930,264,"Malwa Institute of Technology, Indore",0.818,0.112,city/address hint conflicts,no,bhopal institute;malwa,,"486:Shri Balaji Institute of Technology & Management, Betul:0.930",Name match conflicts with city/address evidence.,city/place evidence does not confirm the candidate; address/city conflict overrides fuzzy name similarity; same-group collision risk: bhopal institute;malwa,Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Address/city conflict must be resolved by official source evidence.,24300,,2017-2018;2018-2019,AFRC:T:2017:page:1 | AFRC:T:2018:page:1,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"486:Shri Balaji Institute of Technology & Management, Betul:0.930; 264:Malwa Institute of Technology, Indore:0.818; 060:Bhopal Institute of Technology, Bhopal:0.806"
review_current_match_ambiguous,manual_review,2,2,2017;2018,2017-2018,Crescent College of Technology,Bhopal,"OPP. BMHRC, KAROND BY-PASS ROAD, NABIBAGH, BHOPAL",564,"Oriental College of Technology, Bhopal",0.816,135,"IES College of Technology, Bhopal",0.814,0.002,leading name token differs,yes,oriental;ies,"564:Oriental College of Technology, Bhopal:0.816","564:Oriental College of Technology, Bhopal:0.816; 135:IES College of Technology, Bhopal:0.814","Top score exists, but the first distinctive name token differs from AFRC.","strong same-brand current alternative exists: 564:Oriental College of Technology, Bhopal:0.816; distinctive leading token mismatch can indicate a different institute; same-group collision risk: oriental;ies; score below 0.900 (0.816)",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Distinctive leading token differs; likely wrong institute unless source proves alias/renaming.,22800,,2017-2018;2018-2019,AFRC:T:2018:page:2 | fees.xml:item:11,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"564:Oriental College of Technology, Bhopal:0.816; 135:IES College of Technology, Bhopal:0.814; h5:All Saints College of Technology, Bhopal:0.765"
