judge_status,public_action,row_count,review_row_count,years,year_range,afrc_name,afrc_place,afrc_address,best_college_id,best_college_name,best_score,second_college_id,second_college_name,second_score,score_gap,match_reason,same_city,risky_group_terms,strong_current_alternative,possible_current_alternatives,agent_a_matcher_reason,agent_b_skeptic_objection,agent_c_historian_policy,agent_e_judge_reason,raw_fee_texts,branch_amounts,sessions,source_pages,source_urls,alternatives
review_current_match_ambiguous,manual_review,2,2,2017;2018,2017-2018,Jagadguru Dattatry College of Technology,Indore,"VILLEGE -SINHASA, DHAR ROAD INDORE",171,"Jai Narain College of Technology, Bhopal",0.684,249,"Maharana Pratap College of Technology, Gwalior",0.682,0.002,leading name token differs,no,patel,,"171:Jai Narain College of Technology, Bhopal:0.684; 249:Maharana Pratap College of Technology, Gwalior:0.682","Top score exists, but the first distinctive name token differs from AFRC.",city/place evidence does not confirm the candidate; distinctive leading token mismatch can indicate a different institute; same-group collision risk: patel; score below 0.900 (0.684),Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Distinctive leading token differs; likely wrong institute unless source proves alias/renaming.,25000,,2017-2018;2018-2019,AFRC:T:2017:page:3 | AFRC:T:2018:page:3,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"171:Jai Narain College of Technology, Bhopal:0.684; 249:Maharana Pratap College of Technology, Gwalior:0.682; h41:Sardar Patel College of Technology, Balaghat:0.675"
review_current_match_ambiguous,manual_review,2,2,2017;2018,2017-2018,Jai Narain College of Technology Science,Bhopal,"NEW CHOUKSEY NAGAR,BERASIA ROAD, BHOPAL",207,"Lakshmi Narain College of Technology & Science, Bhopal",0.897,171,"Jai Narain College of Technology, Bhopal",0.875,0.022,leading name token differs,yes,lakshmi narain,"207:Lakshmi Narain College of Technology & Science, Bhopal:0.897; 171:Jai Narain College of Technology, Bhopal:0.875; 117:Lakshmi Narain College of Technology Excellence, Bhopal:0.827","207:Lakshmi Narain College of Technology & Science, Bhopal:0.897; 171:Jai Narain College of Technology, Bhopal:0.875; 117:Lakshmi Narain College of Technology Excellence, Bhopal:0.827","Top score exists, but the first distinctive name token differs from AFRC.","strong same-brand current alternative exists: 207:Lakshmi Narain College of Technology & Science, Bhopal:0.897; 171:Jai Narain College of Technology, Bhopal:0.875; 117:Lakshmi Narain College of Technology Excellence, Bhopal:0.827; distinctive leading token mismatch can indicate a different institute; same-group collision risk: lakshmi narain; score below 0.900 (0.897)",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Distinctive leading token differs; likely wrong institute unless source proves alias/renaming.,27500,,2017-2018;2018-2019,AFRC:T:2018:page:3 | fees.xml:item:11,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"207:Lakshmi Narain College of Technology & Science, Bhopal:0.897; 171:Jai Narain College of Technology, Bhopal:0.875; 117:Lakshmi Narain College of Technology Excellence, Bhopal:0.827"
review_possible_current_remap,manual_review,2,2,2017;2018,2017-2018,"Lakshmi Narain College of Technology And Science, Gwalior",Gwalior,"Gram Ratwai, Chitora Road, Murar, Gwalior",h20,"Lakshmi Narain College of Technology, Gwalior",0.920,207,"Lakshmi Narain College of Technology & Science, Bhopal",0.879,0.041,matched historical/defunct college,yes,lakshmi narain,,"207:Lakshmi Narain College of Technology & Science, Bhopal:0.879; 393:Lakshmi Narain College of Technology & Science (RIT), Indore:0.865","Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.","candidate is historical/defunct; do not attach to current college card; plausible current alternative exists: 207:Lakshmi Narain College of Technology & Science, Bhopal:0.879; 393:Lakshmi Narain College of Technology & Science (RIT), Indore:0.865; same-group collision risk: lakshmi narain",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Historical top match has a plausible current alternative; requires official source/manual mapping.,22800,,2017-2018;2018-2019,AFRC:T:2017:page:3 | AFRC:T:2018:page:3,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h20:Lakshmi Narain College of Technology, Gwalior:0.920; 207:Lakshmi Narain College of Technology & Science, Bhopal:0.879; 393:Lakshmi Narain College of Technology & Science (RIT), Indore:0.865"
review_possible_current_remap,manual_review,2,2,2017;2018,2017-2018,"Priyatam Institute Of Technology & Science, Indore",Indore,,h53,"Vindhya Institute of Technology & Science, Indore",0.943,h72,"Priyatam Institute of Technology, & Management, Indore",0.906,0.037,matched historical/defunct college,yes,vindhya,,"474:Shri G.S. Institute of Technology & Science, Indore (M.P.):0.877","Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.","candidate is historical/defunct; do not attach to current college card; plausible current alternative exists: 474:Shri G.S. Institute of Technology & Science, Indore (M.P.):0.877; same-group collision risk: vindhya",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Historical top match has a plausible current alternative; requires official source/manual mapping.,22800,,2017-2018;2018-2019,AFRC:T:2017:page:5 | AFRC:T:2018:page:5,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h53:Vindhya Institute of Technology & Science, Indore:0.943; h72:Priyatam Institute of Technology, & Management, Indore:0.906; 474:Shri G.S. Institute of Technology & Science, Indore (M.P.):0.877"
review_current_match_ambiguous,manual_review,2,2,2017;2018,2017-2018,"RADHARAMAN INSTITUTE OF RESEARCH AND TECHNOLOGY,BHOPAL",Bhopal,"Fatehpur Dobra, Ratibad, Bhadbhada Road, Bhopal - 462046, Madhya Pradesh",429,"Sagar Institute of Research & Technology, Bhopal",0.909,h28,"NRI Institute of Research & Technology, Bhopal",0.885,0.024,leading name token differs,yes,bansal;sagar institute;radharaman;nri,"429:Sagar Institute of Research & Technology, Bhopal:0.909","429:Sagar Institute of Research & Technology, Bhopal:0.909; 042:Bansal Institute of Research & Technology, Bhopal:0.880","Top score exists, but the first distinctive name token differs from AFRC.","strong same-brand current alternative exists: 429:Sagar Institute of Research & Technology, Bhopal:0.909; distinctive leading token mismatch can indicate a different institute; same-group collision risk: bansal;sagar institute;radharaman;nri",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Distinctive leading token differs; likely wrong institute unless source proves alias/renaming.,22800,,2017-2018;2018-2019,AFRC:T:2017:page:5 | AFRC:T:2018:page:5,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"429:Sagar Institute of Research & Technology, Bhopal:0.909; h28:NRI Institute of Research & Technology, Bhopal:0.885; 042:Bansal Institute of Research & Technology, Bhopal:0.880"
review_possible_current_remap,manual_review,2,2,2017;2018,2017-2018,Royal College of Technology,Indore,"Opp. Pitra Parvat, Near Gommathgiri, Hatod Road Indore",h10,"BM College of Technology, Indore",0.799,564,"Oriental College of Technology, Bhopal",0.781,0.018,matched historical/defunct college,yes,oriental;shri ram,,"564:Oriental College of Technology, Bhopal:0.781","Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.","candidate is historical/defunct; do not attach to current college card; plausible current alternative exists: 564:Oriental College of Technology, Bhopal:0.781; same-group collision risk: oriental;shri ram; score below 0.900 (0.799)",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Historical top match has a plausible current alternative; requires official source/manual mapping.,22800,,2017-2018;2018-2019,AFRC:T:2017:page:6 | AFRC:T:2018:page:6,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h10:BM College of Technology, Indore:0.799; 564:Oriental College of Technology, Bhopal:0.781; h75:Shri Ram College of Technology, Bhopal:0.750"
review_possible_current_remap,manual_review,2,2,2017;2018,2017-2018,"Sagar Institute of Research Technology, Indore SIRTIndore.",Indore,KAILOD KARTAL BY-PASS ROAD INDORE,h36,"Sagar Institute of Research Technology & Science, Bhopal",0.807,429,"Sagar Institute of Research & Technology, Bhopal",0.792,0.015,matched historical/defunct college,no,sagar institute,,"429:Sagar Institute of Research & Technology, Bhopal:0.792","Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.","candidate is historical/defunct; do not attach to current college card; plausible current alternative exists: 429:Sagar Institute of Research & Technology, Bhopal:0.792; city/place evidence does not confirm the candidate; same-group collision risk: sagar institute; score below 0.900 (0.807)",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Historical top match has a plausible current alternative; requires official source/manual mapping.,29000,,2017-2018;2018-2019,AFRC:T:2017:page:6 | AFRC:T:2018:page:6,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h36:Sagar Institute of Research Technology & Science, Bhopal:0.807; 429:Sagar Institute of Research & Technology, Bhopal:0.792; h68:Vidya Sagar Institute of Technology, Indore:0.775"
review_current_match_ambiguous,manual_review,2,2,2025;2026,2025-2026,"Sant Singaji Engineering College, Dewas",Dewas,"NH 47 Near Sandalputr Fata Village Sandalpur Tehsil Khategaon, District - Dewas M.P. - 455339",384,"Rewa Engineering College, Rewa (REC)",0.704,h14,"Gwalior Engineering College, Gwalior",0.685,0.019,leading name token differs,no,,,"384:Rewa Engineering College, Rewa (REC):0.704","Top score exists, but the first distinctive name token differs from AFRC.",city/place evidence does not confirm the candidate; distinctive leading token mismatch can indicate a different institute; score below 0.900 (0.704),Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Distinctive leading token differs; likely wrong institute unless source proves alias/renaming.,21000 | 25000,,2025-2026;2026-2027,AFRC:T:2025:page:5 | AFRC:T:2026:page:4,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"384:Rewa Engineering College, Rewa (REC):0.704; h14:Gwalior Engineering College, Gwalior:0.685; h87:TECHNO ENGINEERING COLLEGE, INDORE:0.676"
review_historical_match_ambiguous,manual_review,2,2,2017;2018,2017-2018,Shri Krishna Inst. of Tech. Mgmt.,Gwalior,"BHATKHERI,JHANSI ROAD,GWALIOR",h73,"Shri Krishna Institute of Technology & Management, Gwalior",0.746,504,"Shri Ram Institute of Technology, Jabalpur",0.592,0.154,matched historical/defunct college,yes,shri ram;vikrant,,,"Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.",candidate is historical/defunct; do not attach to current college card; same-group collision risk: shri ram;vikrant; score below 0.900 (0.746),Historical IDs may be resolved for audit completeness but must not become current college fee display records.,"Historical candidate is weak, contradictory, or poorly supported.",22800,,2017-2018;2018-2019,AFRC:T:2017:page:7 | AFRC:T:2018:page:7,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h73:Shri Krishna Institute of Technology & Management, Gwalior:0.746; 504:Shri Ram Institute of Technology, Jabalpur:0.592; h69:Vikrant Institute of Technology & Management, Gwalior:0.590"
review_possible_current_remap,manual_review,2,2,2017;2018,2017-2018,Shri Rawatpura Sarkar Institute of Technology,Jabalpur,"NH -12 Bhopal National Highway, Near Bhedaghat Crossing, Jabalpur MP",h67,"Shri Rawatpura Sarkar Institute of Technology, Jabalpur",1.000,507,"Shri Rawatpura Sarkar Institute of Technology & Science, Datia",0.960,0.040,matched historical/defunct college,yes,shri ram,,"507:Shri Rawatpura Sarkar Institute of Technology & Science, Datia:0.960","Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.","candidate is historical/defunct; do not attach to current college card; plausible current alternative exists: 507:Shri Rawatpura Sarkar Institute of Technology & Science, Datia:0.960; same-group collision risk: shri ram",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Historical top match has a plausible current alternative; requires official source/manual mapping.,25000,,2017-2018;2018-2019,AFRC:T:2017:page:7 | AFRC:T:2018:page:7,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h67:Shri Rawatpura Sarkar Institute of Technology, Jabalpur:1.000; 507:Shri Rawatpura Sarkar Institute of Technology & Science, Datia:0.960; 504:Shri Ram Institute of Technology, Jabalpur:0.761"
review_current_match_ambiguous,manual_review,2,2,2017;2018,2017-2018,Shri Vaishnav Institute of Technology Science,Indore,"Gram Baroli, Indore-Sanwer Road, Indore",474,"Shri G.S. Institute of Technology & Science, Indore (M.P.)",0.832,590,"Vaishnavi Institutes of Technology and Science, Raisen",0.816,0.016,leading name token differs,yes,,"474:Shri G.S. Institute of Technology & Science, Indore (M.P.):0.832","474:Shri G.S. Institute of Technology & Science, Indore (M.P.):0.832; 590:Vaishnavi Institutes of Technology and Science, Raisen:0.816; 522:Shri Dadaji Institute of Technology & Science, Khandwa:0.812","Top score exists, but the first distinctive name token differs from AFRC.","strong same-brand current alternative exists: 474:Shri G.S. Institute of Technology & Science, Indore (M.P.):0.832; distinctive leading token mismatch can indicate a different institute; score below 0.900 (0.832)",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Distinctive leading token differs; likely wrong institute unless source proves alias/renaming.,32500,,2017-2018;2018-2019,AFRC:T:2017:page:7 | AFRC:T:2018:page:7,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"474:Shri G.S. Institute of Technology & Science, Indore (M.P.):0.832; 590:Vaishnavi Institutes of Technology and Science, Raisen:0.816; 522:Shri Dadaji Institute of Technology & Science, Khandwa:0.812"
review_current_match_ambiguous,manual_review,2,2,2017;2018,2017-2018,Star Academy of Technology Management,Indore,"VILLAGE JAKHIYA.OPP.REOTI RANGE ,SANWER ROAD,INODRE",165,"IPS College of Technology & Management, Gwalior",0.716,600,Vikrant Institute of Technology & Management Indore,0.691,0.025,leading name token differs,no,vikrant;ips,,"165:IPS College of Technology & Management, Gwalior:0.716; 600:Vikrant Institute of Technology & Management Indore:0.691","Top score exists, but the first distinctive name token differs from AFRC.",city/place evidence does not confirm the candidate; distinctive leading token mismatch can indicate a different institute; same-group collision risk: vikrant;ips; score below 0.900 (0.716),Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Distinctive leading token differs; likely wrong institute unless source proves alias/renaming.,22800,,2017-2018;2018-2019,AFRC:T:2017:page:8 | AFRC:T:2018:page:8,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"165:IPS College of Technology & Management, Gwalior:0.716; 600:Vikrant Institute of Technology & Management Indore:0.691; h72:Priyatam Institute of Technology, & Management, Indore:0.684"
review_current_match_ambiguous,manual_review,2,2,2017;2018,2017-2018,Vindhya Institute of Technology Science,Jabalpur,"Neemkheda , Mandla Road Jabalpur",609,"Vindhya Institute of Technology & Science, Satna",0.960,h53,"Vindhya Institute of Technology & Science, Indore",0.960,,close group-name alternatives,no,bhopal institute;vindhya,,"609:Vindhya Institute of Technology & Science, Satna:0.960",Candidate is in a risky same-group namespace; alternatives must be compared manually.,city/place evidence does not confirm the candidate; same-group collision risk: bhopal institute;vindhya,Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Same-group alternatives are too close for automatic acceptance.,20700,,2017-2018;2018-2019,AFRC:T:2017:page:9 | AFRC:T:2018:page:9,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"609:Vindhya Institute of Technology & Science, Satna:0.960; h53:Vindhya Institute of Technology & Science, Indore:0.960; 057:Bhopal Institute of Technology & Science, Bhopal:0.810"
unmatched,manual_research,2,2,2017;2018,2017-2018,Sanghvi Innovative Academy,Indore,"Gram Kanadia, Old Sihore Road Pragati Vihar II Indore , (M.P.)",,,0.554,,,,,no close college name,no,,,,No candidate is close enough for automatic matching.,No reliable candidate to attack or accept; needs external source/name research.,Historical IDs may be resolved for audit completeness but must not become current college fee display records.,No candidate clears minimum identity evidence; needs external source or explicit manual mapping.,31000,,2017-2018;2018-2019,AFRC:T:2017:page:6 | AFRC:T:2018:page:6,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,
unmatched,manual_research,2,2,2017;2018,2017-2018,Satyam Edu. & Social Welfare Society Group of Instt.,Bhopal,"VILLAGE GADMURA,SUKHI SEWANIYA,BHOPAL SANCHI ROAD,BHOPAL",,,0.477,,,,,no close college name,no,,,,No candidate is close enough for automatic matching.,No reliable candidate to attack or accept; needs external source/name research.,Historical IDs may be resolved for audit completeness but must not become current college fee display records.,No candidate clears minimum identity evidence; needs external source or explicit manual mapping.,26000,,2017-2018;2018-2019,AFRC:T:2017:page:6 | AFRC:T:2018:page:6,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,
review_possible_current_remap,manual_review,1,1,2017,2017,"New-Tech Institute of Engineering and Technology, Dewas",Dewas,,h39,"Sanghvi Institute of Engineering and Technology, Indore",0.833,141,"Institute of Engineering and Technology, DAVV, Indore",0.800,0.033,matched historical/defunct college,no,,,"141:Institute of Engineering and Technology, DAVV, Indore:0.800","Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.","candidate is historical/defunct; do not attach to current college card; plausible current alternative exists: 141:Institute of Engineering and Technology, DAVV, Indore:0.800; city/place evidence does not confirm the candidate; score below 0.900 (0.833)",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Historical top match has a plausible current alternative; requires official source/manual mapping.,18500,,2017-2018,AFRC:T:2017:page:4,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h39:Sanghvi Institute of Engineering and Technology, Indore:0.833; 141:Institute of Engineering and Technology, DAVV, Indore:0.800; h47:Synergy Institute of Technology, Dewas:0.743"
review_possible_current_remap,manual_review,1,1,2019,2019,School Of Engineering & Technology,Bhopal,"J.K. Hospital & L.N. Medical College Campus, Kolar Road, Bhopal (M.P.) - 462042",h38,"SAM College of Engineering & Technology, Bhopal (2007)-F.W.",0.829,534,"Surabhi College of Engineering & Technology, Bhopal",0.790,0.039,matched historical/defunct college,yes,,,"534:Surabhi College of Engineering & Technology, Bhopal:0.790","Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.","candidate is historical/defunct; do not attach to current college card; plausible current alternative exists: 534:Surabhi College of Engineering & Technology, Bhopal:0.790; score below 0.900 (0.829)",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Historical top match has a plausible current alternative; requires official source/manual mapping.,75000,,2019-2020,AFRC:T:2019:page:5,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h38:SAM College of Engineering & Technology, Bhopal (2007)-F.W.:0.829; 534:Surabhi College of Engineering & Technology, Bhopal:0.790; h66:Scope College of Engineering Bhopal:0.756"
review_possible_current_remap,manual_review,1,1,2019,2019,School Research TechnologyPeoples Univ,Bhopal,"Peoples Campus, Bhanpur, Bhopal M.P. - 462037",h28,"NRI Institute of Research & Technology, Bhopal",0.657,429,"Sagar Institute of Research & Technology, Bhopal",0.642,0.015,matched historical/defunct college,yes,bansal;sagar institute;nri,,"429:Sagar Institute of Research & Technology, Bhopal:0.642; 042:Bansal Institute of Research & Technology, Bhopal:0.635","Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.","candidate is historical/defunct; do not attach to current college card; plausible current alternative exists: 429:Sagar Institute of Research & Technology, Bhopal:0.642; 042:Bansal Institute of Research & Technology, Bhopal:0.635; same-group collision risk: bansal;sagar institute;nri; score below 0.900 (0.657)",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Historical top match has a plausible current alternative; requires official source/manual mapping.,70000,,2019-2020,AFRC:T:2019:page:5,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h28:NRI Institute of Research & Technology, Bhopal:0.657; 429:Sagar Institute of Research & Technology, Bhopal:0.642; 042:Bansal Institute of Research & Technology, Bhopal:0.635"
